00738	18.3594	-65.6114	Fajardo	PR	Fajardo	STANDARD
00739	18.1815	-66.1695	Cidra	PR	Cidra	STANDARD
00740	18.332	-65.6388	Puerto real	PR	Fajardo	STANDARD
00741	18.1622	-65.7535	Punta santiago	PR	Humacao	STANDARD
00742	18.2649	-65.59480000000001	Roosevelt roads	PR	Ceiba	STANDARD
00744	18.2063	-65.7431	Rio blanco	PR	Naguabo	PO BOX ONLY
00745	18.3673	-65.81659999999999	Rio grande	PR	Rio grande	STANDARD
00751	17.9985	-66.26479999999999	Salinas	PR	Salinas	STANDARD
00754	18.1876	-65.9624	San lorenzo	PR	San lorenzo	STANDARD
00757	17.9912	-66.3955	Santa isabel	PR	Santa isabel	STANDARD
00765	18.1233	-65.46040000000001	Vieques	PR	Vieques	STANDARD
00766	18.1205	-66.4966	Villalba	PR	Villalba	STANDARD
00767	18.0455	-65.887	Yabucoa	PR	Yabucoa	STANDARD
00769	18.096	-66.35080000000001	Coamo	PR	Coamo	STANDARD
00771	18.1966	-65.872	Las piedras	PR	Las piedras	STANDARD
00772	18.4474	-65.8994	Loiza	PR	Loiza	STANDARD
00773	18.366	-65.7081	Luquillo	PR	Luquillo	STANDARD
00775	18.3237	-65.29649999999999	Culebra	PR	Culebra	PO BOX ONLY
00777	18.2065	-65.90179999999999	Juncos	PR	Juncos	STANDARD
00778	18.2591	-65.9746	Gurabo	PR	Gurabo	STANDARD
00780	18.002	-66.6074	Coto laurel	PR	Ponce	STANDARD
00782	18.225	-66.2199	Comerio	PR	Comerio	STANDARD
00783	18.3044	-66.3305	Corozal	PR	Corozal	STANDARD
00784	17.9923	-66.13930000000001	Guayama	PR	Guayama	STANDARD
00785	18.0188	-66.79559999999999	Guayama	PR	Guayanilla	STANDARD
00786	18.1281	-66.2687	La plata	PR	Aibonito	PO BOX ONLY
00791	18.138	-65.7885	Humacao	PR	Humacao	STANDARD
00792	18.138	-65.7885	Humacao	PR	Humacao	STANDARD
00794	18.2009	-66.30719999999999	Barranquitas	PR	Barranquitas	STANDARD
00795	17.9974	-66.4932	Juana diaz	PR	Juana diaz	STANDARD
00801	18.3223	-64.9637	St thomas	VI	Saint thomas	STANDARD
00802	18.3223	-64.9637	St thomas	VI	Saint thomas	STANDARD
00803	18.3223	-64.9637	St thomas	VI	Saint thomas	STANDARD
00804	18.3223	-64.9637	St thomas	VI	Saint thomas	STANDARD
00805	18.3223	-64.9637	St thomas	VI	Saint thomas	STANDARD
00820	17.7342	-64.7347	Christiansted	VI	Saint croix	STANDARD
00821	17.7342	-64.7347	Christiansted	VI	Saint croix	STANDARD
00822	17.7342	-64.7347	Christiansted	VI	Saint croix	STANDARD
00823	17.7342	-64.7347	Christiansted	VI	Saint croix	STANDARD
00824	17.7342	-64.7347	Christiansted	VI	Saint croix	STANDARD
00830	18.3282	-64.7407	St john	VI	Saint john	STANDARD
00831	18.3282	-64.7407	St john	VI	Saint john	STANDARD
00840	17.7342	-64.7347	Frederiksted	VI	Saint croix	STANDARD
00841	17.7342	-64.7347	Frederiksted	VI	Saint croix	STANDARD
00850	17.7342	-64.7347	Kingshill	VI	Saint croix	STANDARD
00851	17.7342	-64.7347	Kingshill	VI	Saint croix	STANDARD
00901	18.4659	-66.1036	San juan	PR	San juan	STANDARD
00902	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00906	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00907	18.4516	-66.077	San juan	PR	San juan	STANDARD
00908	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00909	18.4434	-66.0681	San juan	PR	San juan	STANDARD
00910	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00911	18.4508	-66.0579	San juan	PR	San juan	STANDARD
00912	18.4442	-66.0599	San juan	PR	San juan	STANDARD
00913	18.4507	-66.04340000000001	San juan	PR	San juan	STANDARD
00914	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00915	18.4379	-66.04810000000001	San juan	PR	San juan	STANDARD
00916	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00917	18.422	-66.0506	San juan	PR	San juan	STANDARD
00918	18.4191	-66.06229999999999	San juan	PR	San juan	STANDARD
00919	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00920	18.4068	-66.0919	San juan	PR	San juan	STANDARD
00921	18.3904	-66.06610000000001	San juan	PR	San juan	STANDARD
00922	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00923	18.4108	-66.0367	San juan	PR	San juan	STANDARD
00924	18.3964	-66.0115	San juan	PR	San juan	STANDARD
00925	18.4011	-66.0498	San juan	PR	San juan	STANDARD
00926	18.3694	-66.0628	San juan	PR	San juan	STANDARD
00927	18.3852	-66.072	San juan	PR	San juan	STANDARD
00928	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00929	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00930	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00931	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00933	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00934	18.3449	-66.166	Fort buchanan	PR	Bayamon	STANDARD
00935	18.4105	-66.0605	San juan	PR	San juan	UNIQUE
00936	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00937	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00938	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00939	18.4105	-66.0605	San juan	PR	San juan	STANDARD
00940	18.4105	-66.0605	San juan	PR	San juan	STANDARD
